Num,Artist,Title,Album,Year,Date,Lyric
233,Drake,The Winner,Room for Improvement,2009,2009-08-15,im performing tonight you know that shit gone be packed pay me in advance and make sure that its exact my ex girlll probably show up for the simple fact that tomorrow she can tell all of her friends it was whack but fuck that though this about me they say my whole fan base is missing id but the young trendsetting musician i be got critics giving up the recognition i deserve never bring your mrs by me im it im it call me mr it if i get one wish i'ma wish to die free they say gon head ball like ms arie and i do the realest in my age group no shit soho cosmo balmain blow fish let's make a toast tell your friends come closer drinks on me like a coaster   we doing it big look at what i done look at where im is its only just begun 'cause i was staying home when they was having fun so please dont be surprised when they announce that i won and this is how my speech goes i deserve this shit i deserve this shit i deserve this shit thats all i got to say at the top is where i stay and tell my haters never go away the winner   long awaited hated fans see me out and they holla happy belated its about time that you made it i was bumping your songs when nobody else played it when i was up in hot beats in atlanta steady giving daps fetching niggas drinks but i never got to rap if anybody asked though i prolly woulda snapped but i cant sign nothing 'til my lawyer get the facts and no one decides who the definition of talent is and mrs murray look at what my talent did and what your business is it's been a couple years guess its not about who you know its just how you balance it its always awkward to dummy a nigga artist and get on someone song when you know you coming the hardest it's how you start actin' when nobody can reach you my plan just hatched happy easter   we doing it big look at what i done look at where im is its only just begun 'cause i was staying home when they was having fun so please dont be surprised when they announce that i won and this is how my speech goes i deserve this shit i deserve this shit i deserve this shit thats all i got to say at the top is where i stay and tell my haters never go away the winner   uhh ok i do it for the love bunk bed flow always one level above if im in your starting five you will never need a sub and im neva looking down so i always know wassup a lot of people sayin' fuck me problem is they be telling everybody but me but i always got a starbucks being brewed too hot please please double cup me they never gave me support like chuck ts and i never trust a nigga saying trust me nick cannon and will never did it this ill so you tell the house band dont you dare interrupt me thanks to my mother for never giving up you deserve the world now gon' live it up thanks to uncle steve my hero who always saved us i could never give back everything you gave us   and to my dad even though we was apart i couldnt leave you out you forever in my heart yeah and in the name of evelyn sher ill forever forgive anybody that never was there for me no other woman could ever compare my angel i hope heavens prepared for whenever you there  4 i got a revolutionary flow in every scenario coming through your stereo got a new chick booty round like the merry go bitches like where he at they be like there he go and this deserve a burial dont cry for me this aint motherfucking mario yeah and polo isnt at my session mranticipation keeping everybody guessing like   we doing it big look at what i done look at where im is its only just begun 'cause i was staying home when they was having fun so please dont be surprised when they announce that i won and this is how my speech goes i deserve this shit i deserve this shit i deserve this shit thats all i got to say at the top is where i stay and tell my haters never go away the winner
234,Drake,Wu-Tang Forever (Remix),Something,2016,2016-01-16,produced by noah 40 shebib  hook drake i just love when i'm with you yeah this shit is on ten we used to be friends girl and even back then you would look at me with no hesitation and you'd tell me baby it's yours nobody else's yeah this shit belong to nobody it's yours nobody else's yeah this shit belong to nobody and that what made me think about the game girl and how i switched it up with a new thing young nigga came through on his wutang and nowadays when i ask about who got it they say it's yours nobody else's yeah this shit belong to nobody it's yours nobody else's yeah this shit belong to nobody it's yours it's yours it's yours it's yours that's for sure that's for sure it's yours it's yours it's yours that's for sure that's for sure   aap rocky tongue kisses stank hoes at the coachella thank the lord she never listen what a hoe tell her not only could i do better but i know better how could i ever be the king without a coretta feelin' like rae same damn 'lo sweater mac 0 beretta for the cold weather her ex let her blow cheddar she a go getter hoe clothes fit her moetter but her flow better machine gun raps for all my niggas in the back keep machine gun strapped in case a nigga wanna act up petite gun raps ain't even strong enough to match us machine gun blat in case a nigga wanna act tough ain't nothin' like a bad bitch that make a jiggy nigga wanna go and run up in that shit raw like bruh man from the 5th floor i creep up in it deep up in it 'til she tell a nigga it's yours i know this shit is mine for the takin' if i ain't in mason it's some gay shit prolly why i don't react when you say shit half the times niggas don't even make sense know this shit is yours when you do a world tour all off a mixtape shit you know this shit is yours when your face on every magazine cover every page shit you know this shit is yours when you fuck a new different bad broad every day shit only get high just to compliment my maintenance i took a little moment out to say this  hook drake i just love when i'm with you yeah this shit is on ten we used to be friends girl and even back then you would look at me with no hesitation and you'd tell me baby it's yours nobody else's yeah this shit belong to nobody it's yours nobody else's yeah this shit belong to nobody and that what made me think about the game girl and how i switched it up with a new thing young nigga came through on his wutang and nowadays when i ask about who got it they say it's yours nobody else's yeah this shit belong to nobody it's yours nobody else's yeah this shit belong to nobody it's yours it's yours it's yours it's yours that's for sure that's for sure it's yours it's yours it's yours that's for sure that's for sure   drake how you feel about comin' home with a nigga for the night if you nervous hit the lights i know we only fuckin' out of spite cause your man don't do you right do you right i could fuck you so good then i hit you with the 9 am in dallas who you like baby who you like   drake machine gun raps for all my niggas in the back stadium packed just glad to see the city on the map i just gave the city life it ain't about who did it first it's 'bout who did it right niggas looking like preach open cases on me for a half a million each i find peace knowing that it's harder in the streets i know luckily i didn't have to grow there i would only go there cause niggas that i know there i don't know what's getting into me i just like the rush when you see your enemy somewhere in the club and you realize he just not in a position to reciprocate your energy you ain't ever worried cause he's not who he pretends to be people like mazin who was a best friend to me start to become a distant memory things change in that life and this life started lacking synergy and fuckin' with me mentally i think it's meant to be paranoid always rolling with my mothafuckin' boys but you gotta understand when it's yours they don't really leave your ass with a mothafuckin' choice man  hook drake i just love when i'm with you yeah this shit is on ten we used to be friends girl and even back then you would look at me with no hesitation and you'd tell me baby it's yours nobody else's yeah this shit belong to nobody it's yours nobody else's yeah this shit belong to nobody and that what made me think about the game girl and how i switched it up with a new thing young nigga came through on his wutang and nowadays when i ask about who got it they say it's yours nobody else's yeah this shit belong to nobody it's yours nobody else's yeah this shit belong to nobody it's yours it's yours it's yours it's yours that's for sure that's for sure it's yours it's yours it's yours that's for sure that's for sure
235,Drake,Do It All,Young Sweet Jones 2,2010,2010-07-15,hook somebody remind me where i am that's right im at home yeah im right where i belong girl you say you feeling faded yeah me too this smoke is getting blown and these drinks are super strong i know they ain't getting money like we do so its on i was looking for the one now im feeling dumb for thinking it was you i was wrong now im back up in this bitch going harder than i did watch me do it and imma do it all feeling like the old me you dont even know me imma do it all imma do it all that's probably why im back up in this bitch going harder than i did watch me do it   tonight im into breaking up somebodys home im drunk as ever im not alone iiiim with my people i know you love it i dont just do it i over does it i be getting money so long it's just paper to me take all my memories with you and just erase it for me you can never reminisce when you forget it all careful what you wish for you just might get it all now my life is angel hair and pinot grigio baby forget about it i'm headed wherever this motherfucking jet is routed you cant have my heart the doctor told me id be dead without it my judgment's never cloudy thats why im steady yelling weatherman weatherman im about whatever man im tryna fuck with tinkerbell in never neverland but im polite about it baby after you ive had a glass or two so  hook somebody remind me where i am that's right im at home yeah im right where i belong girl you say you feeling faded yeah me too this smoke is getting blown and these drinks are super strong i know they ain't getting money like we do so its on i was looking for the one now im feeling dumb for thinking it was you i was wrong now im back up in this bitch going harder than i did watch me do it and imma do it all feeling like the old me you dont even know me imma do it all imma do it all that's probably why im back up in this bitch going harder than i did watch me do it   tryna get the green like im waiting at a long light broke just doesnt suit me girl and every night is prom night whered i put my bow tie millionaire multi rest in peace to big and praises to the most high getting stupid paid off of smart decisions im the man now i guess that part's a given so someone please tell me the problem with my competition i ask what's up and they just say the cost of living i love from it though ive been down and i got up bring a hundred thousand to the club and light your spot up and me falling and landing in love i don't think should happen 'cause everything's easier to get into than get out off but someone show me to the owner of this city because the owners always seem to be the only people with me im still the mafia i still run the committee ny forever nigga diddy  hook somebody remind me where i am that's right im at home yeah im right where i belong girl you say you feeling faded yeah me too this smoke is getting blown and these drinks are super strong i know they ain't getting money like we do so its on i was looking for the one now im feeling dumb for thinking it was you i was wrong now im back up in this bitch going harder than i did watch me do it and imma do it all feeling like the old me you dont even know me imma do it all imma do it all that's probably why im back up in this bitch going harder than i did watch me do it
236,Drake,The Presentation,Comeback Season,2007,2007-09-01,produced by rich kidd   shake up the world that is what i'm about to do and homie you ain't even on my altitude i'm tellin you i got enough cloud for two and like a nigga turned blood i came out the blue they like damn who's drake where's wheelchair jimmy at on my chris brown shit i'm still here gimme that i'm cutting lights out like it's bedtime these other rappers lukewarm like red wine the truth hurts so please don't rub it in i'm not signed yet so i'm still budgeting i'm like jeopardy i'm still buzzin in every city that you got a nephew or a cousin in i miss cake these days i can't even afford a mistake these days all of my favorite girls miss drake these days please don't take offense to my ways cause i need drug money who got drug money i am talkin white phantom sittin' on dub money i am talkin cold champagne at the club money and no i ain't emotional but baby i love money to all these ar's that's playin' stars why you gotta act dumb dumb your girl know how i beat it like a flat drum and spit dirty like i'm chewing on black gum i fooled y'all ain't shit for me to come back from  interlude oh yes i'd like to take this opportunity to formally welcome you to this extravaganza that i call comeback season hope you enjoy your stay drinks are on me by the way yeah   drake how the fuck jay and dame gon' break up 'fore they meet drake i'm sure it can be resolved i'm just hopin that they make up i'm perfecting my craft using more cess tryna make some cheese off a single is a process get it kraft single cheese process sit back and admire the talent that i possess top notch no less oh yes i'm known in the city but need to bust out like a model that show chest cause you deal with agents from check collections i'm keepin' it cleaner than little x direction and baby girl if you don't like me it's prolly due to the fact that you are les like nextselection the city is mine i control this you know this cause you are nothing like it and i'm so this the coldest i'm in jamaica docked at the bay what up otis i'm back with the form like obus i go yeah and i'mma teach it so you learn right you can't come on this ride you need to earn height with no hydro bill i let the lights burn out and after that i take 'em back like returned flights yeah you can't miss the boy me and rich united like van nistelrooy bar mitzvah kid get your hits destroyed cause i keep it under wraps like christmas toys no witnesses no mistresses this the present and i'm a show you what gifted is mayne keep it real no other youngin's as hot as me you a gucci groupie my nigga and i'm a prodigy what i'm direct for cause i'm who they check for i waited for connects while you was playin' connect four you was playin' uno i was doing you know whatever us rappers do to develop a new flow i promise   shout out to 4040 yeah my right hand
237,Drake,Going in for Life,Comeback Season,2007,2007-09-01,i don't think they really ready for my wardrobe i show up right before the store close and blow the fee from my last four shows i do one song and use four flows she used to be a christian before now all she wanna do is shop for christian dior clothes like baby those are cute i adore those me and the salesman build a rapport so he understand the fact that i'm spending offshore dough cashonly transactions homie and please no receiptsthe feds like to explore those they can't audit if they dont know i bought it been doing it for years homie thoroughly i thought it through what it do i am currently recording on a track admitting most of my currencys imported but too late now it's too legitimate to hit 'em with a lawsuit even if those are acts that i did commit repeat offender anita baker playing in the whip as they pull me over my sweet surrender i got a jewish lawyer as my lead defender a menschkeit as they say hes a legal bender and atf is present every regal member the coalition is so efficient you have to be invited or there's no admission we know tradition we spend money so don't try to compete if you in no position i wish you would listen i take you back to this trial where i am about to be home again like new edition my foot is just solely fit for this shoe it fits in used to record in the basement that renny grew his piff in when pops turned over keys like a new ignition if hov is jordan i guess i'm cool with pippen 'til i mention that i wanna play a new position no teamplaying no screensetting because i wanna win games coach i'm through assisting the takeover the break's over nigga and i'ma keep killing 'em until the day that drake's over the wait's over the tape's coming they bullshitting but i am equipped with great plumbing the human mentality so eager to hate something and try to play it off like it ain't jumping and it's the predicament that you found drake in the condo that i just purchased sound vacant 'cause i have just been sittin' in this cell thinking what i could've done to make my first video groundbreaking and whenever i'm flowing on the mic aside from talking 'bout the d i'm throwing in your wife i treat this one session as if it were my last and i pretend tomorrow is the day i'm going in for life like that
238,Drake,Best I Ever Had (Remix),Beam Me Up Scotty,2009,2009-04-18,drake yeah nicki minaj young money yeah drizzy's home baby  pre drake baby you my everything you all i ever wanted we can do it real big bigger than you ever done it you be up on everything other hoes ain't never on it i want this forever i swear i could spend whatever on it 'cause she hold me down every time i hit her up when i get right i promise that we gon' live it up she make me beg for it 'til she give it up and i say the same thing every single time   drake  nicki minaj i say you the fucking best ayy you the fucking best ayy you the fucking best ayy you the fucking best ayy you the best i ever had best i ever best i ever had best i ever best i ever had best i ever best i ever had best i ever i say you the fucking   drake  trey songz know you got a roommate call me when its no one there put the key under the mat and you know i'll be over there yup i'll be over there shawty i'll be over there i'll be hitting all the spots that u ain't even know was there ha and you ain't even have to ask twice you can have my heart or we can share it like the last slice always felt like you was so accustomed to the fast life have a nigga thinking that he met you in a past life sweatpants hair tied chilling with no makeup on that's when you're the prettiest i hope that you don't take it wrong you don't even trip when friends say you ain't bringin' drake along you know that i'm working i'll be there soon as i make it home and she a patient in my waiting room never pay attention to them rumors and what they assume and until them girls prove it i'm the one to never get confused with 'cause  pre drake baby you my everything you all i ever wanted we can do it real big bigger than you ever done it you be up on everything other hoes ain't never on it i want this forever i swear i could spend whatever on it 'cause she hold me down every time i hit her up when i get right i promise that we gon' live it up she make me beg for it 'til she give it up and i say the same thing every single time   drake  nicki minaj i say you the fucking best ayy you the fucking best ayy you the fucking best ayy you the fucking best ayy you the best i ever had best i ever best i ever had best i ever best i ever had best i ever best i ever had best i ever i say you the fucking   nicki minaj ayo you the only one that see the real nicki i can show you chill nicki 'cause of how you deal wit me when they knock my blocks down you come and you build with me even though you real busy you still fuckin' real drizzy it's so amazing i figured out this world is ours with the taking i figured out that when i go out and all those people scream that's some of them are living vicariously through me that's why i put that s on my chest and i'm gone but on another note let's have sex in my dorm and i'ma make you beg 'cause you look pretty when you beggin' so meet me on the campus i'll be there around eleven so let me put my books down down excuse me if i look down down guess i'm a little nervous but i'm at your service look at what you took down down  pre nicki minaj baby you my everything you all i ever wanted we can do it real big bigger then you ever done it you be up on everything other niggas never on it i want this forever i swear i can spend whatever on it that's why i hold you down every time you hit me up when i get right i promise that we gon' live it up i make you beg for it until i give it up you say the same thing every single time   drake  nicki minaj i say you the fucking best ayy you the fucking best ayy you the fucking best ayy you the fucking best ayy you the best i ever had best i ever best i ever had best i ever best i ever had best i ever best i ever had best i ever i say you the fucking   drake sex love pain baby i be on that tank shit buzz so big i could probably sell a blank disc when my album drop bitches'll buy it for the picture and niggas will buy it too and claim they got it for they sister magazine paper girl but money ain't the issue they bring dinner to my room and ask me to initial she call me the referee 'cause i be so official my shirt ain't got no stripes but i can make your pussy whistle like the andy griffith theme song and who told you to put them jeans on doublecup love you the one i lean on feeling for a fix then you should really get your fiend on yeah just know my condo is the crack spot every single show she out there repping like a mascot get it from the back and make your fucking bra strap pop all up in yo slot until the nigga hit the jackpots i'm saying  pre drake baby you my everything you all i ever wanted we can do it real big bigger than you ever done it you be up on everything other hoes ain't never on it i want this forever i swear i could spend whatever on it 'cause she hold me down every time i hit her up when i get right i promise that we gon' live it up she make me beg for it 'til she give it up and i say the same thing every single time   drake  nicki minaj i say you the fucking best ayy you the fucking best ayy you the fucking best ayy you the fucking best ayy you the best i ever had best i ever best i ever had best i ever best i ever had best i ever best i ever had best i ever i say you the fucking best ayy you the fucking best ayy you the fucking best ayy you the fucking best ayy you the best i ever had best i ever best i ever had best i ever best i ever had best i ever best i ever had best i ever   drake  nicki minaj ugh aww yeah aww yeah see this the type of joint you gotta dedicate to somebody this is just make sure they that special somebody an essay young money baby yeah yeah
239,Drake,Deceiving,Deceiving,2014,2014-04-23,drake talking i don't even need a note pad for this one right here man shut the lights off let the mind work ya know i'd like to ummm i'd like to take the time to dedicate this to a special somebody guess i'll call her my most recent addition to my collection to female disappointments   deceiving you are the reason that i don't believe in finding the love that i need and i'm uncle phil i switch wifey like every season so i guess that makes you aunt viv until you take from me till the point that you can't give and when i see you out i pass by it's offensive but what you expect though kinda direct yo cause all that dolce and gabana shit was expensive i told ya mr edwards i tried to save your daughter but she wasn't satisfied with none of the things that i bought her and wasn't tryna show up none of the places that i brought her and couldn't utilize none of the things that i taught her so i was just tryna upgrade you i ain't ya understudy thats tryna upstage you i was ya other buddy that tried to front page you crown you get to know the people that surround you funny to think that i woulda white gowned you cause now we sit around the studio and clown you oops did i let that slip oh my bad did i let that slip i can't forget that quick  hook deceiving you you you you deceiving deceiving you you you you are so deceiving   deceiving you are the reason that when it gets cold in november seems like it's freezing and i fit every stereotype that y'all believe in cause when i say i'm serious you claim you're only teasin i planned a trip to the tropics that you missed so when i'm speakin you only in topic when i'm pissed and in a couple years i guarantee you'll be thirsty and by then i'll be lookin like tropicana twist what up tessa i love you like my own mama and ya daughters getting grown mama and me i'm just here workin' waitin' patient for her to be ready for to love and leave her drama cause i don't really wanna fight no more and i don't wanna diss niggas when i write no more and i don't wanna bring chicks to the crib to watch a flick in the basement on the bed with dim lights no more now i'm losing a feeling you losing appealing you need to step it up like prints from shoes on the ceiling oh damn did i let that slip oh my fault did i let that slip i can't forget that quick  hook deceiving you you you you deceiving deceiving you you you you are so deceiving   my first reaction was damn girl how did i swing you i wanted you forever now i'm something you cling to but you was my angel seems like ya wings grew unaware you was outta state doin' ya thing too sayin' to my self you deceiving you are the reason that i don't believe in finding the love that i need in fact i know you always be lyin' when u be leavin' goin' to visit family promise me you ain't cheatin' a sure thing just might fail you women often conduct themselves just like males do they huddle in a group and joke about the fact that you a soft nigga how you think cuddling with is cute they laugh at how you think you last when you really don't and make u think u get the ass when you really won't and dudes do that and why these hoes stealin' it they doin the same shit with a better job at concealin' it so sign your name on a prenupt and then initial she only messin with a rapper if it's beneficial opps did i let that slip oh my bad did i let that slip i can't forget that quick  hook deceiving you you you you deceiving deceiving you you you you are so deceiving  drake talking feel like uh i feel like we back man yeah it's like see see the problem with these other brothers is that they makin love songs we makin beyond and above songs you know what i'm sayin we sayin real stuff we not bitter it's life you know if ya'll females would pull it together maybe we would have something better to talk about
240,Drake,Real Bad Karma,Unreleased Songs,2014,2014-02-13,drake sonorous on the beat and i know   drake my life is full of drama i just want the top don't wanna charm her talk about the boy and you get karma bad karma that's a sad story yeah real bad karma   drake condo in miami sold that shit to chalmers i stay on the beach when i retire i can't miss a game i been on fire i'm thinkin' money when i sleep now that's the only thing that get me geeked now someone got a problem every week now oh now they talkin' beefs now gotta make peace and stay a hunnid stay a hunnid all my girls bad times a hunnid times a hunnid and i'm going hard times a hunnid times a hunnid i'm tryna see a hunnid times a hunnid for the guys for the city and the gang i might appear if you keep calling on my name put a curse up on you things are getting strange you ain't lie when you told me that i changed and i know   drake sonorous on the beat my life is full of drama i just want the top don't wanna charm her talk about the boy and you get karma bad karma that's a sad story yeah real bad karma   bryson tiller aye  am with my departure jug out to miami flew in charter stay one hunnid look at me i've been in charge charge oh you know i'm 'bout to sauce on you sauce suggest you lighten up i might go dark on you sauce hey pull up pull up skrt vallet park on you ayy king kong climbing up the charts on you oh goddamn say my life is full of drama hot boy i feel like dwayne michael carter sononous on the beat life been good since i became a father thought you said a kid would make it harder nonono trust me it just made me smarter i cut some niggas off put some real ones on the roster never mix the real niggas with the impostors keep them niggas far from us i say fuck 'em all i i say fuck 'em all i just checked all my accounts and my money sittin' tall nigga shut your fuckin' mouth ain't no need to air you out niggas know what you about heard you goin' through a drought must be why you talkin' down boy i know   drake with bryson tiller my life is full of drama i just want the top don't wanna charm her talk about the boy and you get karma bad karma that's a sad story   sonorous on the beat
241,Drake,More Ready,Unreleased Songs,2017,2017-06-30,drake i got a triple king bed and i don't mind sharing i got a big gwagon and i don't mind sharing we can get wild like olivia we can get stoned like sharon wrote take care but they push me to the point where i'm just not caring i'm just more ready than petty nowadays young and in control even when they stoop low i see anything is anything and everything's a go but i already know that i'm just more ready than petty nowadays just know young and in control even when they stoop low i see anything is anything i'm watching y'all close  hook drake i got a triple king bed and i don't mind sharing i got a big gwagon and i don't mind sharing we can get wild like olivia we can get stoned like sharon wrote take care but they push me to the point where i'm just not caring i'm just more ready than petty nowadays i'm just more ready than petty nowadays just know i'm just more ready than petty nowadays i'm just more ready than petty nowadays just know i'm just more ready than   dafrican you said you were done with me fine with me im on the loose now i can do what i want i can fuck who i choose not looking for love that shit hurt last time you left a bruise riding by myself blowing smoke in the wind while i cruise riding by myself yeah im better by myself yeah i feel like being alone but when im by myself yeah you pop up in my head yeah thats when you see the text pop up on your cell like come throught come throught  hook drake i got a triple king bed and i don't mind sharing i got a big gwagon and i don't mind sharing we can get wild like olivia we can get stoned like sharon wrote take care but they push me to the point where i'm just not caring i'm just more ready than petty nowadays i'm just more ready than petty nowadays just know i'm just more ready than petty nowadays i'm just more ready than petty nowadays just know i'm just more ready than   dafrican you said you were done with me fine with me im on the loose now i can do what i want i can fuck who i choose not looking for love that shit hurt last time you left a bruise riding by myself blowing smoke in the wind while i   partynextdoor i'm flickin' my wrist like i'm a fisher diamonds on my chest like a bishop and these lines right here ain't no pickup these lines right here gon' really really make you fuck these lines really gonna make you numb like chuck this time is your time i need to know if you're down 'cause if not i know there's more around there's always more  hook drake yeah i got a triple king bed and i don't mind sharing i got a big gwagon and i don't mind sharing we can get wild like olivia we can get stoned like sharon wrote take care but they push me to the point where i'm just not caring i'm just more ready than petty nowadays i'm just more ready than petty nowadays just know i'm just more ready than petty nowadays i'm just more ready than petty nowadays just know i'm just more ready than   dafrican you said you were done with me fine with me im on the loose now i can do what i want i can fuck who i choose not looking for love that shit hurt last time you left a bruise riding by myself blowing smoke in the wind while i cruise
242,Drake,Talk Is Cheap,Room for Improvement,2016,2016-12-02,drake  static major yeah yeah yeah yeah yeah yeah yeah hey there help me i've been away too long and i know you'd agree i'm so tired but i can't sleep my door's open and that don't mean leave know what i mean   aaliyah  drake don't let me fool yah boy you don't know me oh shit suppose i said i want you this very moment come here and let me school yah this is how it's done boy you gotta push my buttons the ones that turn me on turn me on turn me on turn me on turn me on turn me on turn me on turn me on   static major don't rush but don't wait don't talk 'cause it's gettin' late sit right here next to me what's up your talk is cheap   aaliyah don't let me fool yah boy you don't know me suppose i said i want you this very moment come here and let me school yah this is how it's done boy you gotta push my buttons the ones that turn me on turn me on turn me on turn me on turn me on turn me on   drake you know i gotta ask what's up with the friends that you bring know you got some other cool friends that you never bring new stories for you every time the phone ring they don't understand girl if anything you're everything oh lord good lord smoke a little then record you know papi on the vocals 40 on the boards call me when you feel inspired never when you're bored and have a real conversation with your fuckin' boy with the fuckin' man mr loverloverman how come everything is always on the other hand how come you ain't never busy when i'm busy but the moment that i'm free you always end up with some other plans how you make a good dude wait so long i don't understand why that's some girl shit and what you doin' in the bedroom with your clothes on i want you wearin' what you came into the world with   aaliyah  static major this is your chance to prove that you got the skill don't let me fool yah boy you don't know me suppose i said i want you this very moment you said you could give me the chills come here and let me school yah this is how it's done well it's all up to you boy you gotta push my buttons but you don't know what to do the ones that turn me on turn me on   aaliyah  static major turn me on turn me on turn me on turn me on hey woo girl this very very moment yeah yeah yeah
243,Drake,Go Out Tonight,Deceiving,2015,2015-05-22,you've been home for three whole days actin' like you got chores to do boy this house is way too clean i don't think there's nothing more to do oh you don't need that girl she did it all wrong you was still you before she ever came along get over it get over it i mean i understand the pain someone did me the same i just put that nigga in his place then i got over it then i got over it and if you wanna know the truth   i think you should just get dressed and go out tonight go out tonight order you a drink don't even overthink call a couple friends you know you can have some fun with and go out tonight go out tonight cause you might just meet me   and i'm lookin' for and i'm lookin' for and i'm lookin' for somebody to be with and i'm lookin' for what you're lookin' for yeah you might just meet me and i'm lookin' for and i'm lookin' for and i'm lookin' for somebody to be with and i'm lookin' for what you're lookin' for yeah you might just meet me
244,Drake,Would You Love Me,Would You Love Me,2014,2014-05-02,drake  uhyeah alright uh well alright yeah well alright uhhuh yeah feel good  it's a celebration clap clap bravo  lobster  shrimp  a glass of mescado for the girl who's a student  her friend who's a model finish the whole bottle  we gonna do it big like this yeah  he was just practice he ain't in your world you could take him of your atlas girl your on fire can i be the one you match with  i'll give you a credit card  baby you could max this out  show me were your tats is show me were your hands at maybe i could grasp it they say if you get her you could understand her better  she known to be a cheater but that's only if you let her yeah  i got it together so when they talk  try to detour me it's like whatever tell 'em i appreciate the help but i just got to know for myself  hook uness  would you love me if i didn't sing any songs  if i couldn't take you home  would you love me if i couldn't buy you things  shoes  diamond rings  would you love me if i spent my life with the same old 9 to 5  would you love me if i couldn't give it all to you  would you love me if i didn't say baby you look fly today  would you love me if we can't break away take you on a holiday yeah  would you love me if i said things i don't mean  would you leave or stay  would you lovee me  i say maybe if it goes wrong would you just leave me  now would you lovee me  i say maybe if it goes wrong would you stay or would you go  would you love me    drake  this life style is vile the shit will damage ya especially when you think no ones understandin' ya these girls prove with their over protective managers got paparazzi over my shoulders clickin' their cameras snap snap snap til there running out of card space you remind me of tony's sister on scarface just take it easy on love and slow your heart rate goodness gracious the top is just a hard place yeeah but if you never even been there it kinda make sense' why you diein' to pretend there spillin' all your drinks takin' pictures in your swimwear head up in the clouds you surviing on thin air would you love me i know that shit is exhaustin' girl and your mistakes are costin' girl and maybe ll dont need the help but i just gotta see for myself  hook  unessx  girl would you loveee me i say maybe if it goes wrong would you just leve me  now would you love mee  i say maybe if it goes wrong would you stay or would you go    uness  baby everybody love a summer day but can you trade the sun for just a rainy day  in the darkest hour would love find its way
245,Drake,A Little Favour (GQ Freestyle),A Little Favour,2014,2014-06-12,diamonds hang around my neck the crib is all finished no love for these bitches i said this year its all business it is a shame that a couple of em are off limits no offence to my nigga its just the industry is small we all lust for the same women you know the ones we saw before we came in it i know he ain't trippin i know i got a couple things that lil wayne dipped in ain't ashamed to admit it i be the same with it this shit is all about hits and misses the ones that you fuck and the ones that you wife up dont let them fuck your life up half a mill to perform i cant let them fuck that shit up plus i love the way my middle name looks when its lit up jim moore got me dressing like a leading man a little favour for a friend when i need a hand young frank suits cut right always just got a couple warhols for my hallways new verses crush the hood like im driving into something bitches on the kid like im iverson of something like a sixer since i sold 680 in my first drizzy drake the only one that got the gift without the curse swag
246,Drake,Lie To Me,Certified Lover Boy,2013,2013-05-03,pimp c man get the fuck away from us we don't want nothin' but money we some family men we gettin' this paper know what i'm talkin' 'bout and i had to put that out there bun because a lot of niggas doin' lot of fugazi shit out here man   love me save me tell me try me all you do is lie to me takin' me for granted i could tell all you do is lie to me lies don't excite me i'm lonely need more than a homie takin' me for granted i could tell  all you do is lie to me and dub me you never love me any confidence i came with you take it from me i just wanna get beside you and make you love me i just can not take the silence you keep ignorin' me see you makin' all this time for more important things we was s'posed to catch a vibe the other night busy now but you was down that other time why you always lead me on and give me signs i just wanna get beside and make you mine i just wanna come inside and reunite got me waitin' outside hah   love me save me tell me try me all you do is lie to me takin' me for granted i could tell all you do is lie to me lies don't excite me i'm lonely need more than a homie takin' me for granted i could tell   diddy uhm you was just so in your pocket uhm cats used to tell me when they used to come to my house in miami and shit that that that they felt a feelin' of like they felt a lil' fucked up in they stomach but they was inspired 'cause they knew they they they had somethin' to see the dream for you know i done seen a lot of shit i ain't never seen a a young nigga as consistent as you that has affected the world in such a positive way since you know michael jackson and then when you've finally got the crib all you do is lie to me you did it like not even none of us did it you feel me uhm nah i mean i did it like that i ain't gon' lie i ain't gon' lie to you i did it like that but i ain't never been affected by another nigga crib in the way that did it to inspire me how cats told me that he'd been inspired all you do is lie to me and felt that feelin' in they gut like i gotta work harder need more than a homie well i mean workin' harder just to compete bro for real for real it's either you fuckin' in the game or you're out the game nigga i'm back in this motherfucker let's get some money it's over nigga you have arrived top five end of discussion may god bless you inshallah you know what i'm sayin' this your brother diddy take that and thank you for the inspiration jheeze
